"用户ID","特征","清洁效率","耗材","对比","时间"
"1007","82m²一居 | 独居白领 | 复合地板","覆盖率89%\n日均清扫58m²\n清扫区域：办公区+卧室","主刷寿命：剩余58天\nHEPA滤网：剩余62%","定时清扫使用率高于均值55%","2025-08"
"1003","65m²公寓 | 单身 | 木地板","覆盖率85%\n日均清扫45m²\n清扫区域：沙发底部（高度不足）","主刷寿命：剩余60天\nHEPA滤网：剩余40%","拖地功能使用率低于同类30%","2025-01"
"1009","135m²四居 | 三代同堂 | 地砖+实木","覆盖率87%\n日均清扫98m²\n清扫区域：老人房+儿童区","主刷寿命：剩余42天\nHEPA滤网：剩余58%","边角清洁覆盖率低于均值12%","2025-11"
"1002","110m²三居 | 三口之家 | 全屋地砖","覆盖率88%\n日均清扫92m²\n清扫区域：儿童房、餐厅","主刷寿命：剩余65天\nHEPA滤网：剩余58%","清扫频率高于均值40%","2025-02"
"1005","75m²一居 | 养宠家庭（猫） | 地砖+地板","覆盖率95%\n日均清扫60m²\n清扫区域：猫砂盆周边","主刷寿命：剩余70天\nHEPA滤网：剩余68%","宠物毛发处理效率高于均值42%","2025-04"
"1008","58m²单身公寓 | 租房 | 塑胶地板","覆盖率83%\n日均清扫41m²\n清扫区域：厨房+卫生间","主刷寿命：剩余35天\nHEPA滤网：剩余45%","耗材更换频率高于均值28%","2025-07"
"1001","89m²两居 | 情侣 | 瓷砖+木地板","覆盖率92%\n日均清扫68m²\n清扫区域：客厅、卧室","主刷寿命：剩余75天\nHEPA滤网：剩余65%","拖地使用率高于均值12%","2025-03"
"1004","130m²大平层 | 二孩家庭 | 全屋地毯","覆盖率82%\n日均清扫110m²\n清扫区域：地毯深度除螨","主刷寿命：剩余55天\nHEPA滤网：剩余50%","毛发缠绕率高于同类55%","2025-09"
"1010","98m²两居 | 新婚夫妻 | 柔光砖","覆盖率93%\n日均清扫72m²\n清扫区域：全屋精细清扫","主刷寿命：剩余85天\nHEPA滤网：剩余72%","清洁耗时高于均值8%","2025-06"
"1006","95m²两居 | 老人居住 | 实木地板","覆盖率88%\n日均清扫70m²\n清扫区域：卧室、客厅","主刷寿命：剩余80天\nHEPA滤网：剩余75%","清扫频次低于均值20%","2025-05"
"1004","130m²大平层 | 二孩家庭 | 全屋地毯","覆盖率83%\n日均清扫115m²\n清扫区域：儿童活动区","主刷寿命：剩余40天\nHEPA滤网：剩余43%","毛发缠绕率高于同类58%","2025-12"
"1007","120m²三居 | 上班族 | 全屋地砖","覆盖率90%\n日均清扫85m²\n清扫区域：下班日常清扫","主刷寿命：剩余60天\nHEPA滤网：剩余55%","定时使用率高于均值60%","2025-10"
"1002","110m²三居 | 三口之家 | 全屋地砖","覆盖率89%\n日均清扫95m²\n清扫区域：过道、玄关","主刷寿命：剩余50天\nHEPA滤网：剩余50%","清扫频率高于均值42%","2025-04"
"1008","55m²单身公寓 | 租房 | 复合地板","覆盖率84%\n日均清扫40m²\n清扫区域：小面积高频","主刷寿命：剩余50天\nHEPA滤网：剩余45%","耗材成本低于均值35%","2025-08"
"1001","89m²两居 | 情侣 | 瓷砖+木地板","覆盖率91%\n日均清扫72m²\n清扫区域：厨房、玄关","主刷寿命：剩余60天\nHEPA滤网：剩余55%","拖地使用率高于均值15%","2025-07"
"1009","140m²四居 | 别墅一层 | 大理石+地毯","覆盖率86%\n日均清扫100m²\n清扫区域：客厅大理石+地毯","主刷寿命：剩余65天\nHEPA滤网：剩余60%","高端功能使用率高于均值45%","2025-01"
"1005","75m²一居 | 养宠家庭（猫） | 地砖+地板","覆盖率96%\n日均清扫62m²\n清扫区域：猫窝区域","主刷寿命：剩余55天\nHEPA滤网：剩余61%","宠物毛发处理效率高于均值45%","2025-09"
"1003","65m²公寓 | 单身 | 木地板","覆盖率86%\n日均清扫42m²\n清扫区域：床底为主","主刷寿命：剩余45天\nHEPA滤网：剩余35%","拖地功能使用率低于同类28%","2025-06"
"1010","98m²两居 | 新婚夫妻 | 柔光砖","覆盖率91%\n日均清扫70m²\n清扫区域：阳台+书房","主刷寿命：剩余78天\nHEPA滤网：剩余68%","水电消耗低于均值10%","2025-11"
"1006","95m²两居 | 老人居住 | 实木地板","覆盖率87%\n日均清扫68m²\n清扫区域：日常轻扫","主刷寿命：剩余65天\nHEPA滤网：剩余68%","清扫频次低于均值18%","2025-03"
"1004","130m²大平层 | 二孩家庭 | 全屋地毯","覆盖率81%\n日均清扫108m²\n清扫区域：游戏区重点","主刷寿命：剩余25天\nHEPA滤网：剩余36%","毛发缠绕率高于同类52%","2025-05"
"1007","120m²三居 | 上班族 | 全屋地砖","覆盖率91%\n日均清扫87m²\n清扫区域：工作日定时","主刷寿命：剩余45天\nHEPA滤网：剩余48%","定时使用率高于均值62%","2025-02"
"1002","110m²三居 | 三口之家 | 全屋地砖","覆盖率87%\n日均清扫88m²\n清扫区域：玩具区重点","主刷寿命：剩余35天\nHEPA滤网：剩余42%","清扫频率高于均值38%","2025-08"
"1008","55m²单身公寓 | 租房 | 复合地板","覆盖率85%\n日均清扫42m²\n清扫区域：春季除尘","主刷寿命：剩余20天\nHEPA滤网：剩余31%","耗材成本低于均值36%","2025-12"
"1001","89m²两居 | 情侣 | 瓷砖+木地板","覆盖率93%\n日均清扫65m²\n清扫区域：阳台、书房","主刷寿命：剩余45天\nHEPA滤网：剩余48%","拖地使用率高于均值10%","2025-10"
"1009","140m²四居 | 别墅一层 | 大理石+地毯","覆盖率87%\n日均清扫103m²\n清扫区域：大理石重点","主刷寿命：剩余50天\nHEPA滤网：剩余53%","高端功能使用率高于均值48%","2025-04"
"1005","75m²一居 | 养宠家庭（猫） | 地砖+地板","覆盖率94%\n日均清扫58m²\n清扫区域：换毛季重点","主刷寿命：剩余40天\nHEPA滤网：剩余54%","宠物毛发处理效率高于均值48%","2025-07"
"1003","65m²公寓 | 单身 | 木地板","覆盖率84%\n日均清扫46m²\n清扫区域：书桌区域","主刷寿命：剩余30天\nHEPA滤网：剩余30%","拖地功能使用率低于同类32%","2025-09"
"1010","98m²两居 | 新婚夫妻 | 柔光砖","覆盖率94%\n日均清扫75m²\n清扫区域：厨房+餐厅","主刷寿命：剩余70天\nHEPA滤网：剩余75%","清洁满意度高于均值15%","2025-05"
"1006","95m²两居 | 老人居住 | 实木地板","覆盖率89%\n日均清扫72m²\n清扫区域：春季除尘","主刷寿命：剩余50天\nHEPA滤网：剩余61%","清扫频次低于均值22%","2025-08"
"1004","130m²大平层 | 二孩家庭 | 全屋地毯","覆盖率82%\n日均清扫112m²\n清扫区域：全屋地毯循环","主刷寿命：剩余10天\nHEPA滤网：剩余29%","毛发缠绕率高于同类50%","2025-03"
"1007","120m²三居 | 上班族 | 全屋地砖","覆盖率90%\n日均清扫84m²\n清扫区域：春季定时强化","主刷寿命：剩余30天\nHEPA滤网：剩余41%","定时使用率高于均值58%","2025-11"
"1002","110m²三居 | 三口之家 | 全屋地砖","覆盖率90%\n日均清扫90m²\n清扫区域：全屋常规","主刷寿命：剩余20天\nHEPA滤网：剩余35%","清扫频率高于均值35%","2025-01"
"1008","55m²单身公寓 | 租房 | 复合地板","覆盖率84%\n日均清扫39m²\n清扫区域：日常轻扫","主刷寿命：剩余5天\nHEPA滤网：剩余24%","耗材成本低于均值31%","2025-06"
"1001","89m²两居 | 情侣 | 瓷砖+木地板","覆盖率90%\n日均清扫70m²\n清扫区域：全区域常规","主刷寿命：剩余30天\nHEPA滤网：剩余40%","拖地使用率高于均值8%","2025-09"
"1009","140m²四居 | 别墅一层 | 大理石+地毯","覆盖率85%\n日均清扫98m²\n清扫区域：地毯除螨","主刷寿命：剩余35天\nHEPA滤网：剩余46%","高端功能使用率高于均值42%","2025-07"
"1005","75m²一居 | 养宠家庭（猫） | 地砖+地板","覆盖率95%\n日均清扫61m²\n清扫区域：全屋循环","主刷寿命：剩余25天\nHEPA滤网：剩余47%","宠物毛发处理效率高于均值40%","2025-12"
"1003","65m²公寓 | 单身 | 木地板","覆盖率85%\n日均清扫43m²\n清扫区域：极简维护","主刷寿命：剩余15天\nHEPA滤网：剩余25%","拖地功能使用率低于同类29%","2025-04"
"1010","98m²两居 | 新婚夫妻 | 柔光砖","覆盖率92%\n日均清扫68m²\n清扫区域：卧室+衣帽间","主刷寿命：剩余65天\nHEPA滤网：剩余62%","APP操控使用率高于均值20%","2025-02"
"1006","95m²两居 | 老人居住 | 实木地板","覆盖率88%\n日均清扫69m²\n清扫区域：常规维护","主刷寿命：剩余35天\nHEPA滤网：剩余54%","清扫频次低于均值19%","2025-10"
"1004","130m²大平层 | 二孩家庭 | 全屋地毯","覆盖率80%\n日均清扫106m²\n清扫区域：碎屑高发区","主刷寿命：已到期\nHEPA滤网：剩余22%","毛发缠绕率高于同类60%","2025-08"
"1007","120m²三居 | 上班族 | 全屋地砖","覆盖率92%\n日均清扫86m²\n清扫区域：常规定时","主刷寿命：剩余15天\nHEPA滤网：剩余34%","定时使用率高于均值55%","2025-05"
"1002","110m²三居 | 三口之家 | 全屋地砖","覆盖率88%\n日均清扫94m²\n清扫区域：地面碎屑多","主刷寿命：剩余5天\nHEPA滤网：剩余28%","清扫频率高于均值45%","2025-11"
"1008","55m²单身公寓 | 租房 | 复合地板","覆盖率83%\n日均清扫37m²\n清扫区域：极简维护","主刷寿命：已到期\nHEPA滤网：剩余17%","耗材成本低于均值29%","2025-03"
"1001","89m²两居 | 情侣 | 瓷砖+木地板","覆盖率94%\n日均清扫66m²\n清扫区域：重点沿边","主刷寿命：剩余15天\nHEPA滤网：剩余32%","拖地使用率高于均值18%","2025-06"
"1009","140m²四居 | 别墅一层 | 大理石+地毯","覆盖率86%\n日均清扫101m²\n清扫区域：全屋常规","主刷寿命：剩余20天\nHEPA滤网：剩余39%","高端功能使用率高于均值40%","2025-09"
"1005","75m²一居 | 养宠家庭（猫） | 地砖+地板","覆盖率93%\n日均清扫59m²\n清扫区域：浮毛高发","主刷寿命：剩余10天\nHEPA滤网：剩余40%","宠物毛发处理效率高于均值50%","2025-01"
"1003","65m²公寓 | 单身 | 木地板","覆盖率87%\n日均清扫41m²\n清扫区域：局部重点","主刷寿命：已到期\nHEPA滤网：剩余20%","拖地功能使用率低于同类25%","2025-08"
"1010","98m²两居 | 新婚夫妻 | 柔光砖","覆盖率90%\n日均清扫65m²\n清扫区域：阳台+晾衣区","主刷寿命：剩余58天\nHEPA滤网：剩余58%","自清洁功能使用率高于均值25%","2025-10"
"1006","95m²两居 | 老人居住 | 实木地板","覆盖率87%\n日均清扫67m²\n清扫区域：简单清扫","主刷寿命：剩余20天\nHEPA滤网：剩余47%","清扫频次低于均值17%","2025-04"
"1004","130m²大平层 | 二孩家庭 | 全屋地毯","覆盖率84%\n日均清扫113m²\n清扫区域：换季除螨","主刷寿命：新更换\nHEPA滤网：新更换","毛发缠绕率高于同类53%","2025-10"
"1007","120m²三居 | 上班族 | 全屋地砖","覆盖率91%\n日均清扫88m²\n清扫区域：高频定时","主刷寿命：已到期\nHEPA滤网：剩余27%","定时使用率高于均值65%","2025-07"
"1002","110m²三居 | 三口之家 | 全屋地砖","覆盖率89%\n日均清扫89m²\n清扫区域：定期深度","主刷寿命：已更换\nHEPA滤网：剩余65%","清扫频率高于均值39%","2025-06"
"1008","55m²单身公寓 | 租房 | 复合地板","覆盖率85%\n日均清扫41m²\n清扫区域：夏季轻扫","主刷寿命：新更换\nHEPA滤网：新更换","耗材成本低于均值34%","2025-09"
"1001","89m²两居 | 情侣 | 瓷砖+木地板","覆盖率91%\n日均清扫71m²\n清扫区域：床底、柜底","主刷寿命：已更换\nHEPA滤网：剩余70%","拖地使用率高于均值13%","2025-11"
"1009","140m²四居 | 别墅一层 | 大理石+地毯","覆盖率88%\n日均清扫105m²\n清扫区域：深度清洁","主刷寿命：剩余5天\nHEPA滤网：剩余32%","高端功能使用率高于均值50%","2025-02"
"1005","75m²一居 | 养宠家庭（猫） | 地砖+地板","覆盖率96%\n日均清扫63m²\n清扫区域：夏季除毛","主刷寿命：新更换\nHEPA滤网：新更换","宠物毛发处理效率高于均值43%","2025-08"
"1003","65m²公寓 | 单身 | 木地板","覆盖率86%\n日均清扫44m²\n清扫区域：常规轻扫","主刷寿命：新更换\nHEPA滤网：新更换","拖地功能使用率低于同类27%","2025-11"
"1010","98m²两居 | 新婚夫妻 | 柔光砖","覆盖率95%\n日均清扫78m²\n清扫区域：全屋深度","主刷寿命：剩余82天\nHEPA滤网：剩余78%","噪音反馈低于均值8%","2025-04"
"1006","95m²两居 | 老人居住 | 实木地板","覆盖率89%\n日均清扫71m²\n清扫区域：夏季除尘","主刷寿命：剩余5天\nHEPA滤网：剩余40%","清扫频次低于均值21%","2025-07"
"1004","130m²大平层 | 二孩家庭 | 全屋地毯","覆盖率83%\n日均清扫111m²\n清扫区域：夏季高频","主刷寿命：剩余60天\nHEPA滤网：剩余70%","毛发缠绕率高于同类56%","2025-01"
"1007","120m²三居 | 上班族 | 全屋地砖","覆盖率90%\n日均清扫83m²\n清扫区域：夏季定时","主刷寿命：新更换\nHEPA滤网：新更换","定时使用率高于均值59%","2025-09"
"1002","110m²三居 | 三口之家 | 全屋地砖","覆盖率91%\n日均清扫93m²\n清扫区域：夏季高频","主刷寿命：剩余70天\nHEPA滤网：剩余59%","清扫频率高于均值41%","2025-10"
"1008","55m²单身公寓 | 租房 | 复合地板","覆盖率84%\n日均清扫43m²\n清扫区域：避暑除尘","主刷寿命：剩余60天\nHEPA滤网：剩余70%","耗材成本低于均值38%","2025-02"
"1001","89m²两居 | 情侣 | 瓷砖+木地板","覆盖率92%\n日均清扫69m²\n清扫区域：全屋循环","主刷寿命：剩余80天\nHEPA滤网：剩余62%","拖地使用率高于均值11%","2025-04"
"1009","140m²四居 | 别墅一层 | 大理石+地毯","覆盖率87%\n日均清扫99m²\n清扫区域：夏季精护","主刷寿命：新更换\nHEPA滤网：新更换","高端功能使用率高于均值43%","2025-08"
"1005","75m²一居 | 养宠家庭（猫） | 地砖+地板","覆盖率95%\n日均清扫60m²\n清扫区域：日常维护","主刷寿命：剩余75天\nHEPA滤网：剩余73%","宠物毛发处理效率高于均值41%","2025-05"
"1003","65m²公寓 | 单身 | 木地板","覆盖率85%\n日均清扫47m²\n清扫区域：夏季除尘","主刷寿命：剩余65天\nHEPA滤网：剩余75%","拖地功能使用率低于同类31%","2025-02"
"1010","98m²两居 | 新婚夫妻 | 柔光砖","覆盖率89%\n日均清扫68m²\n清扫区域：夏季轻扫","主刷寿命：剩余62天\nHEPA滤网：剩余55%","水箱容量满意度低于均值12%","2025-07"
"1006","95m²两居 | 老人居住 | 实木地板","覆盖率88%\n日均清扫70m²\n清扫区域：避暑轻扫","主刷寿命：新更换\nHEPA滤网：新更换","清扫频次低于均值23%","2025-09"
"1004","130m²大平层 | 二孩家庭 | 全屋地毯","覆盖率82%\n日均清扫109m²\n清扫区域：避暑轻维护","主刷寿命：剩余45天\nHEPA滤网：剩余63%","毛发缠绕率高于同类51%","2025-06"
"1007","120m²三居 | 上班族 | 全屋地砖","覆盖率92%\n日均清扫89m²\n清扫区域：避暑定时","主刷寿命：剩余70天\nHEPA滤网：剩余65%","定时使用率高于均值61%","2025-12"
"1002","110m²三居 | 三口之家 | 全屋地砖","覆盖率88%\n日均清扫87m²\n清扫区域：日常轻扫","主刷寿命：剩余55天\nHEPA滤网：剩余52%","清扫频率高于均值36%","2025-07"
"1008","55m²单身公寓 | 租房 | 复合地板","覆盖率83%\n日均清扫36m²\n清扫区域：低频维护","主刷寿命：剩余45天\nHEPA滤网：剩余63%","耗材成本低于均值37%","2025-05"
"1001","89m²两居 | 情侣 | 瓷砖+木地板","覆盖率90%\n日均清扫67m²\n清扫区域：客厅重点","主刷寿命：剩余65天\nHEPA滤网：剩余55%","拖地使用率高于均值9%","2025-08"
"1009","140m²四居 | 别墅一层 | 大理石+地毯","覆盖率88%\n日均清扫102m²\n清扫区域：秋季精扫","主刷寿命：剩余48天\nHEPA滤网：剩余55%","高端功能使用率高于均值46%","2025-10"
"1005","75m²一居 | 养宠家庭（猫） | 地砖+地板","覆盖率94%\n日均清扫57m²\n清扫区域：避暑低频","主刷寿命：剩余60天\nHEPA滤网：剩余66%","宠物毛发处理效率高于均值38%","2025-03"
"1003","65m²公寓 | 单身 | 木地板","覆盖率84%\n日均清扫40m²\n清扫区域：避暑低频次","主刷寿命：剩余50天\nHEPA滤网：剩余68%","拖地功能使用率低于同类33%","2025-07"
"1010","98m²两居 | 新婚夫妻 | 柔光砖","覆盖率93%\n日均清扫71m²\n清扫区域：秋季除尘","主刷寿命：剩余55天\nHEPA滤网：剩余65%","续航满意度高于均值18%","2025-08"
"1006","95m²两居 | 老人居住 | 实木地板","覆盖率87%\n日均清扫66m²\n清扫区域：低频维护","主刷寿命：剩余70天\nHEPA滤网：剩余72%","清扫频次低于均值24%","2025-12"
"1004","130m²大平层 | 二孩家庭 | 全屋地毯","覆盖率85%\n日均清扫114m²\n清扫区域：开学强化","主刷寿命：剩余30天\nHEPA滤网：剩余55%","毛发缠绕率高于同类59%","2025-07"
"1007","120m²三居 | 上班族 | 全屋地砖","覆盖率91%\n日均清扫85m²\n清扫区域：低频定时","主刷寿命：剩余55天\nHEPA滤网：剩余58%","定时使用率高于均值56%","2025-01"
"1002","110m²三居 | 三口之家 | 全屋地砖","覆盖率89%\n日均清扫91m²\n清扫区域：开学季清洁","主刷寿命：剩余40天\nHEPA滤网：剩余45%","清扫频率高于均值37%","2025-09"
"1008","55m²单身公寓 | 租房 | 复合地板","覆盖率85%\n日均清扫40m²\n清扫区域：秋季轻扫","主刷寿命：剩余30天\nHEPA滤网：剩余56%","耗材成本低于均值30%","2025-11"
"1001","89m²两居 | 情侣 | 瓷砖+木地板","覆盖率93%\n日均清扫73m²\n清扫区域：深度清扫","主刷寿命：剩余50天\nHEPA滤网：剩余47%","拖地使用率高于均值16%","2025-05"
"1009","140m²四居 | 别墅一层 | 大理石+地毯","覆盖率89%\n日均清扫108m²\n清扫区域：秋季维护","主刷寿命：剩余42天\nHEPA滤网：剩余51%","高端功能使用率高于均值47%","2025-06"
"1005","75m²一居 | 养宠家庭（猫） | 地砖+地板","覆盖率96%\n日均清扫64m²\n清扫区域：秋季强化","主刷寿命：剩余45天\nHEPA滤网：剩余59%","宠物毛发处理效率高于均值46%","2025-10"
"1003","65m²公寓 | 单身 | 木地板","覆盖率86%\n日均清扫45m²\n清扫区域：开学整理","主刷寿命：剩余35天\nHEPA滤网：剩余60%","拖地功能使用率低于同类26%","2025-10"
"1010","98m²两居 | 新婚夫妻 | 柔光砖","覆盖率91%\n日均清扫69m²\n清扫区域：日常维护","主刷寿命：剩余48天\nHEPA滤网：剩余52%","APP联动成功率高于均值22%","2025-01"
"1006","95m²两居 | 老人居住 | 实木地板","覆盖率89%\n日均清扫73m²\n清扫区域：秋季大扫除","主刷寿命：剩余55天\nHEPA滤网：剩余65%","清扫频次低于均值20%","2025-01"
"1004","130m²大平层 | 二孩家庭 | 全屋地毯","覆盖率83%\n日均清扫107m²\n清扫区域：日常平稳","主刷寿命：剩余15天\nHEPA滤网：剩余48%","毛发缠绕率高于同类48%","2025-11"
"1007","120m²三居 | 上班族 | 全屋地砖","覆盖率90%\n日均清扫82m²\n清扫区域：秋季定时","主刷寿命：剩余40天\nHEPA滤网：剩余51%","定时使用率高于均值57%","2025-04"
"1002","110m²三居 | 三口之家 | 全屋地砖","覆盖率87%\n日均清扫86m²\n清扫区域：平稳维护","主刷寿命：剩余25天\nHEPA滤网：剩余38%","清扫频率高于均值33%","2025-12"
"1008","55m²单身公寓 | 租房 | 复合地板","覆盖率84%\n日均清扫38m²\n清扫区域：平稳运行","主刷寿命：剩余15天\nHEPA滤网：剩余49%","耗材成本低于均值27%","2025-04"
"1001","89m²两居 | 情侣 | 瓷砖+木地板","覆盖率91%\n日均清扫64m²\n清扫区域：日常维护","主刷寿命：剩余35天\nHEPA滤网：剩余38%","拖地使用率高于均值7%","2025-12"